2014-10-03 16:04:11, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:04:11, Logging, DEBUG, Logging to console
2014-10-03 16:04:22, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:04:22, Logging, DEBUG, Logging to console
2014-10-03 16:05:54, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:05:54, Logging, DEBUG, Logging to console
2014-10-03 16:05:56, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:05:56, Logging, DEBUG, Logging to console
2014-10-03 16:07:40, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:07:40, Logging, DEBUG, Logging to console
2014-10-03 16:08:39, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:08:39, Logging, DEBUG, Logging to console
2014-10-03 16:09:03, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:09:03, Logging, DEBUG, Logging to console
2014-10-03 16:09:27, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:09:27, Logging, DEBUG, Logging to console
2014-10-03 16:09:28, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:09:28, Logging, DEBUG, Logging to console
2014-10-03 16:09:59, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:09:59, Logging, DEBUG, Logging to console
2014-10-03 16:09:59, Logging, DEBUG, Logging to file: ahps_web.log
2014-10-03 16:09:59, Logging, DEBUG, Logging to console
